polish,english,type,level
bliźniaczka,twin,rzeczownik,A2
bliźniaczy,twin,przymiotnik,A2
bliźniak,twin,rzeczownik,A2
blog,blog,rzeczownik,A1
blok,block,rzeczownik,B1
blokować,"bar, block",czasownik,B2
blond,blonde,przymiotnik,A1
bo,because,spójnik,A1
bogactwo,wealth,rzeczownik,B2
bogaty,"rich, wealthy",przymiotnik,A1
bohater,hero,rzeczownik,A2
boisko,"field, pitch",rzeczownik,A2
bok,side,rzeczownik,A2
bolesny,painful,przymiotnik,B1
boleć,hurt,czasownik,A2
bomba,bomb,rzeczownik,B1
bombardować,bomb,czasownik,B1
borykać się,struggle,czasownik,B2
brak,lack,rzeczownik,B1
brakujący,missing,przymiotnik,A2
brama,gate,rzeczownik,A2
bramka,gate,rzeczownik,A2
branża,"industry, sector",rzeczownik,A2
brat,brother,rzeczownik,A1
brać,take,czasownik,A1
brać pod uwagę,"consider, regard",czasownik,A2
brać udział,"attend, participate",czasownik,A2
bronić,defend,czasownik,B2
broń,"arms, weapon",rzeczownik,B2
broń palna,gun,rzeczownik,A2
brud,dirt,rzeczownik,B1
brudny,dirty,przymiotnik,A1
brudzić,mess,czasownik,B1
bryła,block,rzeczownik,B1
brzeg,edge,rzeczownik,B1
brzeg (rzeki),bank (river),rzeczownik,B1
brzmieć,sound,czasownik,A1
brzuch,stomach,rzeczownik,A2
brzydki,ugly,przymiotnik,B1
brąz,brown,rzeczownik,A1
brązowy,brown,przymiotnik,A1
budowa,construction,rzeczownik,B2
budować,"build, construct",czasownik,A1
budynek,building,rzeczownik,A1
budzić (się),wake,czasownik,A1
budżet,budget,rzeczownik,B2
burza,storm,rzeczownik,A2
burzliwy,rough,przymiotnik,B1
but,shoe,rzeczownik,A1
but (wysoki),boot,rzeczownik,A1
but sportowy,trainer,rzeczownik,A2
butelka,bottle,rzeczownik,A1
bułka,roll,rzeczownik,B1
bystry,bright,przymiotnik,A2
byt,"being, existence",rzeczownik,B2
być,be,czasownik,A1
być (posiłkowy),be,czasownik posiłkowy,A1
być dłużnym,owe,czasownik,B2
być gospodarzem,host,czasownik,B2
być może,"perhaps, possibly",przysłówek,A2
być posłusznym,obey,czasownik,B2
być zwróconym ku,face,czasownik,B1
być świadkiem,witness,czasownik,B2
byłby,would,czasownik modalny,A1
były,former,przymiotnik,B2
bzdury,rubbish,rzeczownik,A2
bóg,god,rzeczownik,A2
bójka,fighting,rzeczownik,B1
ból,"hurt, pain",rzeczownik,B2
ból głowy,headache,rzeczownik,A2
bęben,drum,rzeczownik,B1
będzie (operator czasu przyszłego),will,czasownik modalny,A1
będący w opozycji,opposed,przymiotnik,B2
błagać,beg,czasownik,B2
błonia,common,rzeczownik,B2
błoto,"dirt, mud",rzeczownik,B1
błysk,flash,rzeczownik,B2
błyskać,flash,czasownik,B2
błyskotliwy,brilliant,przymiotnik,A2
błyszczeć,shine,czasownik,B1
błyszczący,shiny,przymiotnik,B1
błąd,"error, fault, mistake",rzeczownik,A2
błędny,"false, wrong",przymiotnik,A1
błękit,blue,rzeczownik,A1
cal,inch,rzeczownik,B2
camping,camping,rzeczownik,A2
całkiem,"fairly, pretty, quite",przysłówek,B1
całkowicie,"absolutely, all, completely, entirely, fully, perfectly, totally",przysłówek,B1
całkowity,"entire, overall, total",przymiotnik,B2
całować,kiss,czasownik,B1
całość,whole,rzeczownik,B1
cały,all,określnik,A1
cały,"entire, whole",przymiotnik,B2
cebula,onion,rzeczownik,A1
cecha,"characteristic, feature",rzeczownik,B2
cel,"aim, goal, objective, purpose, target",rzeczownik,B1
cel podróży,destination,rzeczownik,B1
celebrować,celebrate,czasownik,A2
celebryta,celebrity,rzeczownik,A2
celować,"aim, target",czasownik,B1
celownik,sight,rzeczownik,B1
celowo,deliberately,przysłówek,B2
celowy,deliberate,przymiotnik,B2
cena,"cost, price",rzeczownik,A1
ceniać,value,czasownik,B2
cenny,valuable,przymiotnik,B1
cent,cent,rzeczownik,A1
centralny,central,przymiotnik,B1
centrum,centre,rzeczownik,A1
centrum handlowe,mall,rzeczownik,B1
ceremonia,ceremony,rzeczownik,B1
charakter,"character, personality",rzeczownik,A2
charakterystyczny,characteristic,przymiotnik,B2
charakterystyka,characteristic,rzeczownik,B2
chata,cottage,rzeczownik,B1
chciałby (operator trybu przypuszczającego),would,czasownik modalny,A1
chcieć,want,czasownik,A1
chemia,chemistry,rzeczownik,A2
chemiczny,chemical,przymiotnik,B1
chemikalia,chemical,rzeczownik,B1
chip,chip,rzeczownik,A2
chirurgia,surgery,rzeczownik,B2
chleb,bread,rzeczownik,A1
chmura,cloud,rzeczownik,A2
chociaż,"although, while",spójnik,A2
chociaż,though,spójnik / przysłówek,B1
choroba,"disease, illness",rzeczownik,A2
chory,"ill, sick",przymiotnik,A2
chować,bury,czasownik,B1
chować (się),hide,czasownik,A2
chronić,"preserve, protect",czasownik,B2
chronić (się),shelter,czasownik,B2
chudy,thin,przymiotnik,A2
chwalić,praise,czasownik,B2
chwila,"moment, while",rzeczownik,A1
chwyt,"catch, hold",rzeczownik,B2
chwytać,"catch, grab",czasownik,A2
chyba że,unless,spójnik,B1
chybić,miss,czasownik,A1
chętny,"glad, keen, willing",przymiotnik,B1
chęć,desire,rzeczownik,B2
chłodny,cool,przymiotnik,A1
chłodzić,cool,czasownik,B1
chłopak (partner),boyfriend,rzeczownik,A1
chłopiec,boy,rzeczownik,A1
ciasny,tight,przymiotnik,B1
ciastko,"biscuit, cake",rzeczownik,A2
ciasto,cake,rzeczownik,A1
ciało,body,rzeczownik,A1
ciało stałe,solid,rzeczownik,B1
cicho,quietly,przysłówek,A2
cichy,"quiet, silent",przymiotnik,A1
ciecz,liquid,rzeczownik,B1
ciekawy,interesting,przymiotnik,A1
ciemność,dark,rzeczownik,A2
ciemny,dark,przymiotnik,A1
cienki,thin,przymiotnik,A2
ciepło,heat,rzeczownik,A2
ciepły,warm,przymiotnik,A1
cierpieć,suffer,czasownik,B1
cierpieć na brak,lack,czasownik,B1
cierpliwy,patient,przymiotnik,B2
cieszyć się,enjoy,czasownik,A1
cień,shade,rzeczownik,B2
cień (rzucany przez przedmiot),shadow,rzeczownik,B2
ciocia,aunt,rzeczownik,A1
cios,hit,rzeczownik,A2
cisza,silence,rzeczownik,B2
ciąg,string,rzeczownik,B1
ciągle,constantly,przysłówek,B2
ciągnąć,"drag, pull",czasownik,B2
ciągły,continuous,przymiotnik,B1
ciąć,cut,czasownik,A1
cięcie,cut,rzeczownik,B1
ciężar,weight,rzeczownik,A2
ciężarówka,"lorry, truck",rzeczownik,A2
ciężki,"heavy, severe",przymiotnik,A2
ciężko,"hard, heavily",przysłówek,A1
ciśnienie,pressure,rzeczownik,B1
co,what,zaimek / określnik,A1
co więcej,furthermore,przysłówek,B2
codziennie,daily,przysłówek,B1
codzienność,routine,rzeczownik,A1
codzienny,"daily, everyday",przymiotnik,A2
cofać,back,czasownik,B2
cokolwiek,anything,zaimek,A1
cokolwiek,whatever,zaimek / określnik,B1
coraz bardziej,increasingly,przysłówek,B2
coraz częściej,increasingly,przysłówek,B2
coroczny,annual,przymiotnik,B2
coś,something,zaimek,A1
coś ekstra,extra,rzeczownik,B1
coś gorszego,worse,rzeczownik,B2
coś lepszego,better,rzeczownik,B1
cud,wonder,rzeczownik,B1
cudowny,wonderful,przymiotnik,A1
cudzysłów,quote,rzeczownik,B1
cukier,sugar,rzeczownik,A1
cukierek,sweet,rzeczownik,A2
cyfrowy,digital,przymiotnik,A2
cykl,"cycle, series",rzeczownik,A2
cyna,tin,rzeczownik,B1
cytat,"quotation, quote",rzeczownik,B1
cytować,"cite, quote",czasownik,B2
cytryna,lemon,rzeczownik,A2
cywilny,civil,przymiotnik,B2
czapka,"cap, hat",rzeczownik,B1
czarny,black,przymiotnik,A1
czas,time,rzeczownik,A1
czas wolny,leisure,rzeczownik,B1
czasami,sometimes,przysłówek,A1
czasopismo,"journal, magazine",rzeczownik,B1
czat,chat,rzeczownik,A2
czatować,chat,czasownik,A2
czcić,honour,czasownik,B2
czek,check,rzeczownik,A2
czekanie,wait,rzeczownik,A2
czekać,wait,czasownik,A1
czekolada,chocolate,rzeczownik,A1
czempion,champion,rzeczownik,B1
czerwiec,June,rzeczownik,A1
czerwień,red,rzeczownik,A1
czerwony,red,przymiotnik,A1
czerń,black,rzeczownik,A1
czesać,brush,czasownik,A2
cześć,hi,wykrzyknik,A1
cześć,hello,wykrzyknik / rzeczownik,A1
czołg,tank,rzeczownik,B2
czołowy,leading,przymiotnik,B1
czterdzieści,forty,liczebnik,A1
czternaście,fourteen,liczebnik,A1
cztery,four,liczebnik,A1
czubek,tip,rzeczownik,A2
czuwać,watch,czasownik,A1
czuć,feel,czasownik,A1
czuły,sensitive,przymiotnik,B2
czwartek,Thursday,rzeczownik,A1
czwarty,fourth,liczebnik,A1
czy,"if, or, whether",spójnik,A1
czyj,whose,zaimek / określnik,A2
czynić,do (main),czasownik,A1
czynnik,factor,rzeczownik,A2
czynsz,rent,rzeczownik,B1
czystej krwi,pure,przymiotnik,B2
czysty,"blank, clean, clear, pure",przymiotnik,A2
czytanie,reading,rzeczownik,A1
czytać,read,czasownik,A1
czytelnik,reader,rzeczownik,A1
czyścić,"clean, clear",czasownik,A1
często,"frequently, often",przysłówek,B1
częstotliwość,frequency,rzeczownik,B2
częściowo,partly,przysłówek,B2
część,part,rzeczownik,A1
członek (np. organizacji),member,rzeczownik,A1
człowiek,human,rzeczownik,A2
córka,daughter,rzeczownik,A1
cóż,well,wykrzyknik,A1
cło,duty,rzeczownik,B1
dach,roof,rzeczownik,A2
dalej,"beyond, further, on",przysłówek,B2
daleki,far,przymiotnik,B1
daleko,"away, far, way",przysłówek,A1
dalszy,further,przymiotnik,A2
dama,lady,rzeczownik,A2
dana statystyczna,statistic,rzeczownik,B1
dane,data,rzeczownik,A2
danie,"course, dish",rzeczownik,A1
dar,gift,rzeczownik,A2
darmowy,free,przymiotnik,A1
darować,donate,czasownik,B1
data,date,rzeczownik,A1
datować,date,czasownik,B2
dawać,give,czasownik,A1
dawać do zrozumienia,imply,czasownik,B2
dawać napiwek,tip,czasownik,B1
dawka,fix,rzeczownik,B2
dawniej (robic coś),used to,czasownik modalny,A2
dbać,care,czasownik,A2
debata,debate,rzeczownik,B2
debatować,debate,czasownik,B2
decydować,decide,czasownik,A1
decyzja,decision,rzeczownik,A2
definicja,definition,rzeczownik,B1
definiować,define,czasownik,B1
dekada,decade,rzeczownik,B1
deklarować,declare,czasownik,B2
dekoracja,decoration,rzeczownik,B2
dekorować,decorate,czasownik,B1
delikatny,"gentle, soft",przymiotnik,B1
demonstrować,demonstrate,czasownik,B2
dentysta,dentist,rzeczownik,A2
departament,department,rzeczownik,A2
deszcz,rain,rzeczownik,A1
detal,detail,rzeczownik,A1
detektyw,detective,rzeczownik,A2
diagram,diagram,rzeczownik,B1
dialog,dialogue,rzeczownik,A1
diament,diamond,rzeczownik,B1
dieta,diet,rzeczownik,A1
dla,for,przyimek,A1
dlaczego,why,przysłówek,A1
dlatego,therefore,przysłówek,B1
dlatego,so,przysłówek / spójnik,A1
dmuchać,blow,czasownik,A2
dniówka,wage,rzeczownik,B2
dno,bottom,rzeczownik,A2
do,"into, to",przyimek,A1
do (zmiana położenia),onto,przyimek,A2
do domu,home,przysłówek,A1
do przodu,forward,przysłówek,A2
do tyłu,backwards,przysłówek,B1
do widzenia,bye,wykrzyknik,A1
do widzenia,goodbye,wykrzyknik / rzeczownik,A1
do środka,"inside, into",przyimek,A2
do środka,in,przysłówek,A1
dobro,good,rzeczownik,A2
dobroczynność,charity,rzeczownik,A2
dobry,"fine, good, well",przymiotnik,A1
dobry,OK,przymiotnik / przysłówek,A1
dobrze,"right, well",przysłówek,A1
dobrze,"OK, all right",wykrzyknik,A2
dobrze znany,familiar,przymiotnik,B1
doceniać,appreciate,czasownik,B1
dochodzenie,investigation,rzeczownik,B2
dochód,income,rzeczownik,B2
docierać,"get, reach",czasownik,A1
dodatek,"addition, extra",rzeczownik,B1
dodatkowo,extra,przysłówek,B1
dodatkowy,"additional, extra",przymiotnik,B2
dodatkowy,plus,przymiotnik / spójnik / rzeczownik,B2
dodawanie,addition,rzeczownik,B1
dodać,add,czasownik,A1
dodać,plus,przyimek,B1
doktor,doctor,rzeczownik,A1
dokument,document,rzeczownik,A2
dokumentować,document,czasownik,B2
dokładnie,exactly,przysłówek,A2
dokładny,"accurate, exact",przymiotnik,B2
dolar,dollar,rzeczownik,A1
dolina,valley,rzeczownik,A2
dolny,"bottom, downstairs",przymiotnik,A2
dom,home,rzeczownik,A1
dom (budynek),house,rzeczownik,A1
domek wiejski,cottage,rzeczownik,B1
dominować,dominate,czasownik,B2
domowy,"domestic, home, indoor",przymiotnik,B2
domysł,guess,rzeczownik,A1
doniczka,pot,rzeczownik,B1
dookoła,around,przyimek,A1
dookoła,round,przysłówek / przyimek,A2
dopasowany,matching,przymiotnik,B2
dopasować,match,czasownik,A1
dopełnienie,object,rzeczownik,A1
dopuszczalny,acceptable,przymiotnik,B2
dopóki,"till, until",spójnik / przyimek,B1
dorosły,adult,przymiotnik,A2
dorównywać,equal,czasownik,B1
doskonały,"excellent, perfect",przymiotnik,A2
dostarczać,"deliver, provide, supply",czasownik,B1
dostawa,delivery,rzeczownik,B2
dostawać,get,czasownik,A1
dostosować,adapt,czasownik,B2
dostrzec,spot,czasownik,B2
dostęp,access,rzeczownik,B1
dostępny,available,przymiotnik,A2
dosyć,"pretty, rather",przysłówek,A1
dotacja,grant,rzeczownik,B2
dotyczyć,"concern, involve, relate",czasownik,B2
dotyk,"feel, touch",rzeczownik,B2
dotykać,touch,czasownik,A2
dowody,evidence,rzeczownik,A2
dowodzić,command,czasownik,B2
dowód,"evidence, proof",rzeczownik,A2
doznawać,suffer,czasownik,B1
dołączyć,"attach, join",czasownik,B1
doświadczać,experience,czasownik,B1
doświadczenie,"experience, experiment",rzeczownik,A2
doświadczony,experienced,przymiotnik,B1
dość,"enough, fairly, quite",przysłówek,A1
dramat,drama,rzeczownik,A2
dramatyczny,dramatic,przymiotnik,B2
drażnić,annoy,czasownik,B1
drewniany,wooden,przymiotnik,A2
drewno,wood,rzeczownik,A2
drobny,"minor, slight",przymiotnik,B2
droga,"path, road, route, way",rzeczownik,B1
drogi,"dear, expensive",przymiotnik,A1
drugi,second (next after first),liczebnik / określnik,A1
drugorzędny,secondary,przymiotnik,B1
druk,"print, printing",rzeczownik,B2
drukarka,printer,rzeczownik,A2
drukowanie,printing,rzeczownik,B1
drukować,print,czasownik,A2
drut,wire,rzeczownik,B2
drużyna,team,rzeczownik,A1
drzewo,tree,rzeczownik,A1
drzwi,door,rzeczownik,A1
duch,"ghost, spirit",rzeczownik,B1
duchowy,spiritual,przymiotnik,B2
dumny,proud,przymiotnik,B1
dusza,soul,rzeczownik,B2
dużo,lot,określnik,A1
dużo,"many, much",określnik / zaimek,A1
dużo,lot,zaimek,A1
duży,"big, large",przymiotnik,A1
dwa,two,liczebnik,A1
dwa razy,twice,przysłówek,A1
dwadzieścia,twenty,liczebnik,A1
dwanaście,twelve,liczebnik,A1
dworzec,station,rzeczownik,A1
dwukrotnie,twice,przysłówek,A1
dym,smoke,rzeczownik,A2
dyrektor,"director, executive",rzeczownik,A2
dyscyplina,discipline,rzeczownik,B2
dysk,disc,rzeczownik,B2
dyskusja,"debate, discussion",rzeczownik,B2
dyskutować,discuss,czasownik,A1
dystans,distance,rzeczownik,A2
dystrybucja,distribution,rzeczownik,B2
dywan,carpet,rzeczownik,A2
dyżur,duty,rzeczownik,B1
dziadek,grandfather,rzeczownik,A1
dziadek lub babcia,grandparent,rzeczownik,A1
dziać się,happen,czasownik,A1
dział,"department, section, unit",rzeczownik,A2
działanie,"action, operation",rzeczownik,A1
działać,"act, function, operate, work",czasownik,A2
działka,plot,rzeczownik,B1
dzieciak,kid,rzeczownik,A2
dzieciństwo,childhood,rzeczownik,B1
dziecko,"baby, child, kid",rzeczownik,A1
dziedzina,"area, field",rzeczownik,A1
dzielić (się),"divide, share, split",czasownik,B1
dzielnica,"district, quarter",rzeczownik,B2
dzielny,brave,przymiotnik,B1
dziennik,"diary, journal",rzeczownik,A2
dziennik ogólnokrajowy,national,rzeczownik,B2
dziennikarz,"journalist, reporter",rzeczownik,A2
dziesięciolecie,decade,rzeczownik,B1
dziesięć,ten,liczebnik,A1
dziewczyna,girl,rzeczownik,A1
dziewczyna (partnerka),girlfriend,rzeczownik,A1
dziewiętnaście,nineteen,liczebnik,A1
dziewięć,nine,liczebnik,A1
dziewięćdziesiąt,ninety,liczebnik,A1
dzieło,"creation, work",rzeczownik,B2
dzień,day,rzeczownik,A1
dzień dobry,hello,wykrzyknik / rzeczownik,A1
dzika przyroda,wildlife,rzeczownik,B2
dziki,wild,przymiotnik,A2
dzisiaj,today,przysłówek / rzeczownik,A1
dziura,"hole, tear",rzeczownik,A2
dziwić się,wonder,czasownik,B1
dziwny,"odd, strange",przymiotnik,B1
dzięki,thanks,wykrzyknik / rzeczownik,A1
dziękować,thank,czasownik,A1
dziś w nocy,tonight,przysłówek / rzeczownik,A1
dziś wieczorem,tonight,przysłówek / rzeczownik,A1
dzwon,bell,rzeczownik,B1
dzwonek,"bell, ring (object), ring (sound)",rzeczownik,B1
dzwonić,"call, phone, ring (sound), telephone",czasownik,A1
dążyć,"aim, tend",czasownik,B1
dążyć do,"pursue, seek",czasownik,B2
dłoń,hand,rzeczownik,A1
dług,debt,rzeczownik,B2
długi,long,przymiotnik,A1
długo,long,przysłówek,A1
długopis,pen,rzeczownik,A1
długoterminowo,long-term,przysłówek,B2
długoterminowy,long-term,przymiotnik,B2
długość,length,rzeczownik,B1
dźwięk,"sound, tone",rzeczownik,A1
dźwięk dzwonka,ring (sound),rzeczownik,B1
dżem,jam,rzeczownik,A2
dżentelmen,gentleman,rzeczownik,B1
dżinsy,jeans,rzeczownik,A1
e-mail,email,rzeczownik,A1
edukacja,education,rzeczownik,A2
edukacyjny,educational,przymiotnik,B1
edukować,educate,czasownik,B1
edycja,edition,rzeczownik,B2
edytować,edit,czasownik,B2
efekt,effect,rzeczownik,A2
efektywnie,effectively,przysłówek,B1
efektywny,effective,przymiotnik,B1
egzamin,"exam, examination",rzeczownik,A1
egzaminować,examine,czasownik,B1
egzemplarz,copy,rzeczownik,A2
ekipa,crew,rzeczownik,B2
ekonomia,economy,rzeczownik,B1
ekonomiczny,economic,przymiotnik,B1
ekran,screen,rzeczownik,A2
ekscytacja,excitement,rzeczownik,B1
ekscytujący,exciting,przymiotnik,A1
ekspedycja,expedition,rzeczownik,B1
ekspercki,expert,przymiotnik,A2
ekspert,expert,rzeczownik,A2
eksperyment,experiment,rzeczownik,A2
eksperymentować,experiment,czasownik,B1
eksploracja,exploration,rzeczownik,B2
eksplozja,explosion,rzeczownik,B1
eksponować,expose,czasownik,B2
eksport,export,rzeczownik,B1
eksportować,export,czasownik,B1
ekspresja,expression,rzeczownik,A2
ekstra,extra,przysłówek,B1
ekstremalny,extreme,przymiotnik,A2
elastyczny,flexible,przymiotnik,B2
elegancki,smart,przymiotnik,B1
elektroniczny,electronic,przymiotnik,A2
elektryczność,electricity,rzeczownik,A2
elektryczny,electric,przymiotnik,A2
elektryczny (dotyczący elektryczności),electrical,przymiotnik,A2
element,"element, piece",rzeczownik,B1
emerytowany,retired,przymiotnik,B1
emerytura,pension,rzeczownik,B2
emfaza,emphasis,rzeczownik,B2
emocja,emotion,rzeczownik,B1
emocjonalny,emotional,przymiotnik,B2
energia,energy,rzeczownik,A2
entuzjastyczny,enthusiastic,przymiotnik,B2
entuzjazm,enthusiasm,rzeczownik,B2
epizod,episode,rzeczownik,B1
esej,essay,rzeczownik,A2
etap,"phase, stage",rzeczownik,B2
etyczny,ethical,przymiotnik,B2
etykieta,label,rzeczownik,B1
etykietować,label,czasownik,B1
euro,euro,rzeczownik,A1
fabryka,"factory, plant",rzeczownik,A2
fabuła,plot,rzeczownik,B1
facet,guy,rzeczownik,A2
fach,trade,rzeczownik,B1
fachowy,expert,przymiotnik,A2
fajka,pipe,rzeczownik,B1
fajny,"cool, fun",przymiotnik,A1
fakt,fact,rzeczownik,A1
faktyczny,actual,przymiotnik,B2
fala,wave,rzeczownik,A2
fan,fan,rzeczownik,A2
fantastyczny,fantastic,przymiotnik,A1
farba,paint,rzeczownik,A1
farma,farm,rzeczownik,A1
fart,luck,rzeczownik,A2
fascynujący,fascinating,przymiotnik,B1
fasola,bean,rzeczownik,A2
faworyzować,favour,czasownik,B2
faza,"phase, stage",rzeczownik,B2
fałda,fold,rzeczownik,B2
fałszywy,false,przymiotnik,A1
fenomen,phenomenon,rzeczownik,B2
festiwal,festival,rzeczownik,A1
figura,figure,rzeczownik,A2
fikcja,fiction,rzeczownik,A2
filiżanka,cup,rzeczownik,A1
film,"film, movie, video",rzeczownik,A1
film dokumentalny,documentary,rzeczownik,B1
film),release,czasownik,B1
filmować,"film, shoot",czasownik,A2
filmowy),genre,rzeczownik,B2
filozofia,philosophy,rzeczownik,B2
finanse,finance,rzeczownik,B2
finansowanie,funding,rzeczownik,B2
finansować,"finance, fund",czasownik,B2
finansowy,financial,przymiotnik,B1
finał,final,rzeczownik,A2
fiolet,purple,rzeczownik,A1
fioletowy,purple,przymiotnik,A1
firma,"company, firm",rzeczownik,A1
fizyczny,physical,przymiotnik,A2
fizyka,physics,rzeczownik,A2
flaga,flag,rzeczownik,B1
forma,"form, shape",rzeczownik,A1
forma czasu przyszłego,shall,czasownik modalny,A2
formalny,formal,przymiotnik,A2
formować,"form, shape",czasownik,A1
formularz,form,rzeczownik,A1
fortepian,piano,rzeczownik,A1
fortuna,fortune,rzeczownik,B2
fotograf,photographer,rzeczownik,B1
fotografia,"photo, photograph",rzeczownik,A1
fotografia (dziedzina),photography,rzeczownik,B1
fotografować,photograph,czasownik,A2
fragment,passage,rzeczownik,B2
fraza,phrase,rzeczownik,A1
front,front,rzeczownik,A1
frytka,chip,rzeczownik,A2
fundamentalny,fundamental,przymiotnik,B2
fundować,treat,czasownik,B1
fundusz,fund,rzeczownik,B2
fundusze,funding,rzeczownik,B2
funkcja,"feature, function",rzeczownik,A2
funkcjonariusz,"officer, official",rzeczownik,A2
funkcjonować,function,czasownik,B2
