category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Technologie i IT;Sprzęt Komputerowy (Hardware);Co oznacza i reprezentuje sprzętowy skrót RAM w każdym nowoczesnym, szybkim komputerze?;łatwe;Pamięć operacyjną o dostępie swobodnym;Kartę sieciową wi-fi;Kabel zasilający podzespoły;Dysk odczytu optycznego
Technologie i IT;Sprzęt Komputerowy (Hardware);W jaką dużą 'płytę' musisz centralnie wepinać kable, dyski czy procesory przy składaniu swojego własnego PC?;łatwe;W płytę główną (Motherboard);W płytę sterującą;W płytę graficzną;W matrycę bazową
Technologie i IT;Sprzęt Komputerowy (Hardware);Jaki szybki rodzaj nowoczesnego dysku półprzewodnikowego bez ruchomych części całkowicie zastąpił stare, talerzowe dyski HDD?;łatwe;Dysk SSD;Dysk DVD;Pamięć podręczna (Cache);Karta SD
Technologie i IT;Sprzęt Komputerowy (Hardware);Jaką nazwę ma standardowy port, ułatwiający wpięcie w komputerze myszki, klawiatury lub małego, zewnętrznego pendrive'a?;łatwe;Port USB;Port HDMI;Port Ethernet (RJ-45);Port Jack 3.5mm
Technologie i IT;Języki Programowania;W jakim wszechobecnym dziś w przeglądarkach, skryptowym języku tworzy się niemal cały uroczy dynamizm stron w Internecie?;łatwe;W JavaScript;W C++;W Pascalu;W asemblerze
Technologie i IT;Języki Programowania;Czym pod względem językowym na co dzień zajmuje się programista na stanowisku zwanym powszechnie Front-end?;łatwe;Tworzeniem części widocznej dla zwykłego użytkownika;Konfigurowaniem ukrytych baz danych serwera;Zarządzaniem sprzętowym serwerowni;Programowaniem sprzętu mikrokontrolerów
Technologie i IT;Języki Programowania;Jaki obiektowy i uniwersalny język od firmy Sun Microsystems (obecnie Oracle) ma w swym logotypie parującą, gorącą filiżankę kawy?;łatwe;Java;PHP;Ruby;Swift
Technologie i IT;Języki Programowania;Jak nazywamy fundamentalny błąd w napisanym przez kogoś w pośpiechu kodzie programu, wywołujący złe działanie?;łatwe;Bugiem;Lagiem;Trojanem;Spamem
Technologie i IT;Gry Wideo i Konsole;Z jakiej słynnej japońskiej, i kultowej gry wywodzi się jedzący kropki i uciekający przed duszkami zółty połykacz 'Pac-Man'?;łatwe;Z automatów typu arcade;Z pierwszej konsoli PlayStation;Z komputerów z systemem Windows;Z dawnych telefonów komórkowych
Technologie i IT;Gry Wideo i Konsole;Jak nazywa się wąsaty, włoski hydraulik w czerwonej czapce, będący maskotką i flagową postacią firmy Nintendo?;łatwe;Mario;Luigi;Sonic;Crash Bandicoot
Technologie i IT;Gry Wideo i Konsole;Na jakiej potężnej domowej konsoli Microsoftu debiutowała i działa wielka militarna seria 'Halo' z Master Chiefem?;łatwe;Na konsoli Xbox;Na konsoli PlayStation;Na Nintendo Switch;Na konsoli Sega
Technologie i IT;Gry Wideo i Konsole;W co grały w latach 90-tych rzesze polskich dzieci, używając popularnej telewizyjnej konsoli 'Pegasus' z kartridżami?;łatwe;W klon japońskiej konsoli NES (Famicon);W pierwszą polską wersję komputera PC;W magnetowidową nakładkę VHS;W najnowszy model japońskiego GameBoya
Technologie i IT;Gry Wideo i Konsole;Jaka światowa, polska gra ze studia CD Projekt RED na zawsze zdobyła serca graczy w roku 2015 za sprawą łowcy potworów?;łatwe;Wiedźmin 3: Dziki Gon;Cyberpunk 2077;Dying Light;This War of Mine
Technologie i IT;Cyberbezpieczeństwo;Jak fachowo określa się przestępcę, który na co dzień wykorzystuje swoją wiedzę o lukach IT do kradzieży w sieci?;łatwe;Haker (Black hat);Programista;Administrator bazy danych;Tester oprogramowania
Technologie i IT;Cyberbezpieczeństwo;Jak nazywa się groźny proces i sztuczka wyłudzania od ofiary hasła, poprzez np. podszycie się mailem pod jej zaufany bank?;łatwe;Phishing;Spamowanie;DDoS;Ransomware
Technologie i IT;Cyberbezpieczeństwo;Jaki specjalistyczny złośliwy program, podszywając się pod pożyteczną aplikację, niepostrzeżenie otwiera furty dla infekcji?;łatwe;Koń trojański (Trojan);Plik Cookie;Makro instrukcja;Pop-up
Technologie i IT;Cyberbezpieczeństwo;Co groźnego robi wirus typu 'ransomware' z zainfekowanymi na twoim prywatnym komputerze bezcennymi plikami?;łatwe;Szyfruje je i wymusza okup za hasło;Bezpowrotnie formatuje cały dysk twardy;Rozsyła wszystkie Twoje dane do znajomych;Zwiększa zużycie prądu w procesorze
Technologie i IT;Cyberbezpieczeństwo;Jakie nowoczesne zabezpieczenie do standardowego loginu i hasła wymusza dodanie jeszcze np. kodu otrzymanego z SMS?;łatwe;Uwierzytelnianie dwuetapowe (2FA);Certyfikat SSL;Połączenie VPN;Zaszyfrowany BIOS
Technologie i IT;Smartfony i Urządzenia Mobilne;Jaki otwarty, powszechny na świecie system operacyjny mobilny, oparty o jądro Linuksa, rozwijany jest pod pieczą Google?;łatwe;Android;iOS;Windows Mobile;Symbian
Technologie i IT;Smartfony i Urządzenia Mobilne;Na jakim systemie wyłącznościowym zawsze i obligatoryjnie działają kultowe i bardzo popularne smartfony Apple iPhone?;łatwe;iOS;Android;HarmonyOS;macOS
Technologie i IT;Smartfony i Urządzenia Mobilne;Z jakiego specjalnego, bezdotykowego modułu radiowego (w postaci małego chipu) korzystasz w sklepie by zapłacić samym smartfonem?;łatwe;Z modułu NFC;Z modułu Bluetooth;Z modułu GPS;Z odbiornika fal FM
Technologie i IT;Smartfony i Urządzenia Mobilne;Jak w dawnych komórkach w erze przed smartfonami, rozwijano popularny i rewolucyjny tekstowy format krótkich wiadomości do kogoś?;łatwe;SMS (Short Message Service);MMS (Multimedia Message Service);e-mail;Pager
Technologie i IT;Smartfony i Urządzenia Mobilne;Czym w standardowym wyposażeniu smarfona i zegarka sportowego jest stale śledzący pozycję przez satelity system GPS?;łatwe;Systemem globalnego pozycjonowania;Aparatem do pomiaru kroków z czujnikiem;Pamięcią na zapisywanie kontaktów;Procesorem odpowiadającym za gry 3D
Technologie i IT;Technologie Przyszłości;Co oznacza w świecie technologii modny, anglojęzyczny skrót VR, zakładający pełne zanurzenie gracza w komputerowym obrazie 3D?;łatwe;Wirtualną rzeczywistość (Virtual Reality);Wideo rezonans (Video Resonance);Zmienny odczyt (Variable Reading);Rozdzielczość pionową (Vertical Resolution)
Technologie i IT;Technologie Przyszłości;Jaka technologia nosi nazwę AR, pozwalająca m.in. użytkownikom nakładać np. filtry i postaci gier (Pokemon Go) prosto na żywy obraz z ich kamery?;łatwe;Rozszerzona rzeczywistość (Augmented Reality);Sztuczna Inteligencja (Artificial Intelligence);Rozdzielczość Adaptacyjna;Automatyczne Renderowanie
Technologie i IT;Technologie Przyszłości;Z pomocą jakiego urządzenia produkcyjnego powszechnie warstwami roztapia się dzisiaj tworzywa by szybko i w domu zbudować dowolny detal i przestrzenną figurkę?;łatwe;Z pomocą drukarki 3D;Przy użyciu tokarki CNC;Używając grawerki laserowej;Przy pomocy plotera płaskiego
Technologie i IT;Technologie Przyszłości;Co w nowoczesnych modelach biznesowych Amazona, zastępuje czasami miejskich i pieszych kurierów z mniejszymi i lżejszymi i dostarczanymi w powietrzu do paczkami?;łatwe;Autonomiczne drony latające;Niewielkie pocztowe helikoptery;Latające, głośne małe samoloty RC;Balony powietrzne sterowane pilotem
Technologie i IT;Technologie Przyszłości;Jak nazywa się rewolucyjny koncept Internetu Rzeczy (IoT), z którym coraz śmielej zderzamy się dziś w domach?;łatwe;Łączenie domowych urządzeń (np. pralki) ze sobą i siecią;Skupowanie tylko wirtualnych i bezcennych awatarów NFT;Instalowanie chipów biologicznych pod naskórek zwierząt;Tworzenie hologramów rozmawiających asystentów z głośnika
Technologie i IT;Kryptowaluty i Blockchain;Jak nazywa się pierwsza, najpopularniejsza i najdroższa kryptowaluta na świecie, stworzona w 2009 roku?;łatwe;Bitcoin;Ethereum;Dogecoin;Ripple
Technologie i IT;Kryptowaluty i Blockchain;Pod jakim tajemniczym pseudonimem ukrywa się anonimowy twórca (lub grupa twórców) systemu Bitcoin?;łatwe;Satoshi Nakamoto;Vitalik Buterin;Elon Musk;Craig Wright
Technologie i IT;Kryptowaluty i Blockchain;Jak nazywa się zdecentralizowana, niemożliwa do podrobienia baza danych, na której opierają się kryptowaluty?;łatwe;Blockchain (Łańcuch bloków);Chmura obliczeniowa (Cloud);Dark Web;Serwer SQL
Technologie i IT;Kryptowaluty i Blockchain;Jak potocznie określa się specjalistyczne, bardzo wydajne komputery, które na co dzień 'wydobywają' kryptowaluty?;łatwe;Koparki kryptowalut;Serwery lustrzane;Kalkulatory kwantowe;Farmy bitowe
Technologie i IT;Kryptowaluty i Blockchain;Co oznacza w cyfrowym świecie sztuki popularny skrót NFT, będący unikalnym certyfikatem własności grafiki?;łatwe;Niewymienny token (Non-Fungible Token);Nowy format transferu (New File Transfer);Narodowy fundusz technologii;Nieskończona farba tekstur
Technologie i IT;Systemy Operacyjne;Który darmowy, otwartoźródłowy system operacyjny, uwielbiany przez programistów, ma w logo sympatycznego pingwina?;łatwe;Linux;Windows;macOS;Solaris
Technologie i IT;Systemy Operacyjne;Jak nazywa się kultowy, tekstowy system operacyjny od firmy Microsoft, który całkowicie dominował na komputerach przed erą okienek?;łatwe;MS-DOS;UNIX;BASIC;BIOS
Technologie i IT;Systemy Operacyjne;Na jakim systemie operacyjnym domyślnie działają wszystkie laptopy MacBook i komputery stacjonarne firmy Apple?;łatwe;macOS;Windows;iOS;ChromeOS
Technologie i IT;Systemy Operacyjne;Która wersja systemu Windows, wydana w 2001 roku, z charakterystyczną zieloną łąką na tapecie, uchodzi za jedną z najpopularniejszych w historii?;łatwe;Windows XP;Windows 95;Windows Vista;Windows 7
Technologie i IT;Systemy Operacyjne;Jakiego lekkiego systemu operacyjnego, opartego głównie na przeglądarce internetowej, używają tanie laptopy zwane Chromebookami?;łatwe;ChromeOS;Android;Ubuntu;Windows 10 S
Technologie i IT;Ewolucja Nośników Danych;Jaki płaski, kwadratowy i magnetyczny nośnik danych z lat 90. o pojemności zaledwie 1,44 MB jest dziś powszechną ikoną 'Zapisz'?;łatwe;Dyskietka (Floppy disk);Płyta CD;Pendrive;Karta SD
Technologie i IT;Ewolucja Nośników Danych;Ile standardowo danych cyfrowych (muzyki lub programów) mieściło się na klasycznej, błyszczącej płycie CD-ROM?;łatwe;Około 700 MB;Około 1,44 MB;Około 4,7 GB;Około 50 GB
Technologie i IT;Ewolucja Nośników Danych;Czym fizycznie jest bardzo popularny 'pendrive', którego nosimy w kieszeni przypiętego do kluczy?;łatwe;Pamięcią flash na złączu USB;Małym dyskiem HDD z talerzami;Baterią przechowującą ładunek;Odbiornikiem fal Wi-Fi
Technologie i IT;Ewolucja Nośników Danych;Na jakim innowacyjnym i pojemnym optycznym nośniku (dającym jakość HD) wydawano filmy, by zastąpić poczciwe płyty DVD?;łatwe;Na płytach Blu-ray;Na kasetach VHS;Na płytach winylowych;Na kasetach magnetofonowych
Technologie i IT;Ewolucja Nośników Danych;Gdzie fizycznie znajdują się Twoje zdjęcia i pliki, jeśli wysyłasz je na Dysk Google, iCloud lub Dropbox?;łatwe;W 'chmurze' (na zewnętrznych serwerach firm);W atmosferze, w formie fal radiowych;Tylko i wyłącznie na Twoim routerze;W wirtualnej pamięci RAM komputera
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Jaki wirus z 2000 roku, rozsyłany w załączniku e-mail z wyznaniem miłosnym, wyrządził miliardowe szkody na świecie?;łatwe;ILOVEYOU;WannaCry;MyDoom;Zeus
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Jak nazywał się głośny i wysoce zaawansowany system szpiegowski izraelskiej firmy NSO Group, wykorzystywany do inwigilacji m.in. polityków?;łatwe;Pegasus;PRISM;Enigma;Stuxnet
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Jaki precyzyjny robak komputerowy został stworzony prawdopodobnie przez USA, by zniszczyć wirówki atomowe w Iranie?;łatwe;Stuxnet;Morris Worm;Sasser;Conficker
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Jak w żargonie IT nazywa się brutalny atak polegający na zalaniu serwera ogromnym ruchem, by strona przestała działać?;łatwe;Atak DDoS;Phishing;Keylogging;Ransomware
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Czym zajmują się w świecie cyberbezpieczeństwa tzw. 'Białe Kapelusze' (White Hat Hackers)?;łatwe;Legalnym hakowaniem dla poprawy zabezpieczeń;Kradzieżą pieniędzy z kont bankowych;Tworzeniem pirackich wersji gier;Anonimowym nękaniem ludzi w sieci
Technologie i IT;Streaming i VOD;Która ogromna, globalna platforma VOD z wielkim, czerwonym N w logo spopularyzowała model seryjnego oglądania (binge-watching)?;łatwe;Netflix;HBO Max;Disney+;Amazon Prime Video
Technologie i IT;Streaming i VOD;Jaka szwedzka platforma zrewolucjonizowała branżę muzyczną, dając legalny i nielimitowany dostęp do milionów piosenek za abonament?;łatwe;Spotify;Tidal;SoundCloud;Napster
Technologie i IT;Streaming i VOD;Na jakim fioletowym, niezwykle popularnym serwisie streamingowym gracze na żywo pokazują, jak przechodzą gry wideo?;łatwe;Na Twitchu;Na Discordzie;Na Vimeo;Na CDA
Technologie i IT;Streaming i VOD;Kto jest głównym właścicielem i wydawcą nowej usługi VOD zrzeszającej filmy Marvela i Gwiezdnych Wojen w jednym miejscu?;łatwe;Disney (Disney+);Warner Bros;Universal Studios;Sony Pictures
Technologie i IT;Streaming i VOD;Co oznacza w świecie technologii telewizyjnej powszechnie stosowany skrót VOD?;łatwe;Wideo na życzenie (Video on Demand);Cyfrowy dysk optyczny (Virtual Optical Disk);Bardzo oryginalne dane (Very Original Data);Wizualne otwarte drzwi (Visual Open Doors)
Technologie i IT;Rozwój Robotyki i AI;Jak nazywa się słynna amerykańska firma, która buduje niezwykle zwinne, zaawansowane roboty-psy (Spot) oraz humanoidalnego Atlasa?;łatwe;Boston Dynamics;Cyberdyne Systems;Tesla;OpenAI
Technologie i IT;Rozwój Robotyki i AI;Jaki superkomputer od IBM w 1997 roku zszokował świat, wygrywając epicki, sześcierundowy pojedynek szachowy z Garrim Kasparowem?;łatwe;Deep Blue;Watson;HAL 9000;AlphaGo
Technologie i IT;Rozwój Robotyki i AI;Które z podanych to imię wysoce popularnego, głosowego asystenta (AI) wbudowanego domyślnie w urządzenia i głośniki firmy Amazon?;łatwe;Alexa;Siri;Cortana;Bixby
Technologie i IT;Rozwój Robotyki i AI;Jaki innowacyjny program od OpenAI, oparty o modele sieci neuronowych, potrafi na zawołanie wygenerować piękny obraz z opisu tekstowego?;łatwe;DALL-E;ChatGPT;AlphaFold;TensorFlow
Technologie i IT;Rozwój Robotyki i AI;Czym jest Autopilot z którym na co dzień spotykamy się w nowoczesnych, elektrycznych samochodach marki Tesla?;łatwe;Zaawansowanym systemem wsparcia kierowcy (AI i kamery);Silnikiem rakietowym do uników w korkach;Oprogramowaniem zdejmującym całkowitą odpowiedzialność z kierowcy;Człowiekiem-asystentem sterującym autem zdalnie z biura
Technologie i IT;Cyberbezpieczeństwo;Który protokół kryptograficzny zastąpił SSL i jest obecnie standardem zabezpieczania połączeń w warstwie transportowej internetu?;trudne;TLS (Transport Layer Security);IPSec;SSH;HTTPS
Technologie i IT;Ewolucja Nośników Danych;Jaką pojemność miał pierwszy komercyjny dysk twardy – IBM 350 (RAMAC) wprowadzony w 1956 roku?;trudne;Ok. 5 MB;Ok. 50 MB;Ok. 500 KB;Ok. 1 GB
Technologie i IT;Giganci Technologiczni;W którym roku firma Apple jako pierwsza spółka notowana na giełdzie w USA przekroczyła wartość rynkową 1 biliona dolarów?;trudne;2018;2016;2020;2015
Technologie i IT;Gry Wideo i Konsole;Która konsola firmy Sega jako pierwsza na świecie zaoferowała wbudowany modem umożliwiający grę online (premiera w Japonii w 1998 roku)?;trudne;Sega Dreamcast;Sega Saturn;Sega Mega Drive;Sega Game Gear
Technologie i IT;Historia Komputerów;Który uczony jest uważany za twórcę pierwszego mechanicznego kalkulatora zdolnego do wykonywania wszystkich czterech podstawowych działań arytmetycznych (tzw. „koło Leibniza”, ok. 1673 r.)?;trudne;Gottfried Wilhelm Leibniz;Blaise Pascal;Charles Babbage;Ada Lovelace
Technologie i IT;Internet i WWW;Który numer RFC definiuje specyfikację protokółu HTTP/1.1, obowiązującą przez ponad dekadę jako dominujący standard przesyłania danych w sieci WWW?;trudne;RFC 2616;RFC 1945;RFC 7230;RFC 793
Technologie i IT;Języki Programowania;Który paradygmat programowania leży u podstaw języka Haskell, w którym funkcje są wartościami pierwszej klasy, a efekty uboczne są kontrolowane przez monady?;trudne;Programowanie funkcyjne;Programowanie obiektowe;Programowanie proceduralne;Programowanie logiczne
Technologie i IT;Kryptowaluty i Blockchain;Jaki mechanizm konsensusu stosuje sieć Bitcoin do zatwierdzania transakcji i tworzenia nowych bloków w łańcuchu?;trudne;Proof of Work (PoW);Proof of Stake (PoS);Delegated Proof of Stake (DPoS);Proof of Authority (PoA)
Technologie i IT;Media Społecznościowe;Jak nazywał się oryginalny algorytm rankingowy Facebooka, decydujący o widoczności postów w kanale aktualności użytkowników?;trudne;EdgeRank;PageRank;FeedRank;SocialScore
Technologie i IT;Rozwój Robotyki i AI;W którym roku superkomputer IBM Deep Blue pokonał w meczu rewanżowym mistrza świata w szachach Garriego Kasparowa?;trudne;1997;1995;1999;2001
Technologie i IT;Smartfony i Urządzenia Mobilne;W którym roku Apple zaprezentowało technologię Face ID w modelu iPhone X, zastępując nią czytnik linii papilarnych Touch ID?;trudne;2017;2016;2018;2019
Technologie i IT;Sprzęt Komputerowy (Hardware);Ile tranzystorów zawierał pierwszy komercyjny mikroprocesor Intel 4004, wprowadzony na rynek w 1971 roku?;trudne;2300;29 000;134 miliony;4,5 miliona
Technologie i IT;Streaming i VOD;W którym roku platforma Netflix po raz pierwszy uruchomiła usługę strumieniowania wideo przez Internet, odchodząc od modelu wysyłki płyt DVD?;trudne;2007;2005;2010;2003
Technologie i IT;Systemy Operacyjne;Który system plików, będący następcą ext2 i ext3, jest domyślnie stosowany w większości współczesnych dystrybucji Linuksa?;trudne;ext4;NTFS;FAT32;ZFS
Technologie i IT;Słynne Wirusy i Ataki Hakerskie;Który robók komputerowy, odkryty w 2010 roku i wymierzony w irański program nuklearny, był pierwszym złośliwym oprogramowaniem celowo atakującym przemysłowe systemy sterowania SCADA?;trudne;Stuxnet;WannaCry;Conficker;Flame
Technologie i IT;Technologie Przyszłości;Jak określa się zjawisko, w którym komputer kwantowy rozwiązuje określone zadanie obliczeniowe szybciej niż jakikolwiek znany klasyczny superkomputer?;trudne;Supremacja kwantowa (ang. quantum supremacy);Splątanie kwantowe;Tunelowanie kwantowe;Superpozycja kwantowa
