category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Historia;Zimna Wojna;Jak nazywał się fizyczny mur dzielący byłą stolicę Niemiec?;łatwe;Mur Berliński;Mur Chiński;Wał Pomorski;Linia Maginota
Historia;Zimna Wojna;Jaki sojusz wojskowy założyły państwa zachodnie w 1949 roku?;łatwe;NATO;Układ Warszawski;ONZ;Liga Narodów
Historia;Zimna Wojna;Kto był przywódcą ZSRR w czasie groźnego kryzysu kubańskiego?;łatwe;Nikita Chruszczow;Józef Stalin;Leonid Breżniew;Michaił Gorbaczow
Historia;Zimna Wojna;Jaka wojna zastępcza toczyła się w Azji w latach 1950-1953?;łatwe;Wojna koreańska;Wojna wietnamska;Wojna w Afganistanie;I wojna w Zatoce Perskiej
Historia;Zimna Wojna;Kto ogłosił politykę 'pierestrojki' i 'głasnosti' w ZSRR?;łatwe;Michaił Gorbaczow;Borys Jelcyn;Władimir Putin;Jurij Andropow
Historia;Słynni Dowódcy i Wodzowie;Który słynny cesarz francuski zmarł na wygnaniu na Wyspie Świętej Heleny?;łatwe;Napoleon Bonaparte;Juliusz Cezar;Aleksander Wielki;Karol Wielki
Historia;Słynni Dowódcy i Wodzowie;Kto ostatecznie pokonał potężne wojska perskie pod Gaugamelą?;łatwe;Aleksander Macedoński;Hannibal;Spartakus;Leonidas
Historia;Słynni Dowódcy i Wodzowie;Jaki polski król i wódz obronił Wiedeń przed najazdem tureckim?;łatwe;Jan III Sobieski;Władysław Jagiełło;Stefan Batory;Zygmunt III Waza
Historia;Słynni Dowódcy i Wodzowie;Kto dowodził zwycięskimi rzymskimi legionami podczas podboju Galii?;łatwe;Juliusz Cezar;Marek Antoniusz;Oktawian August;Pompejusz Wielki
Historia;Słynni Dowódcy i Wodzowie;Jak nazywał się wódz Kartaginy, który przeprawił się przez Alpy ze słoniami?;łatwe;Hannibal;Scypion Afrykański;Pyrrus;Hasdrubal
Historia;Rzeczpospolita Szlachecka;Jak oficjalnie nazywał się dwuizbowy parlament w Rzeczpospolitej Szlacheckiej?;łatwe;Sejm Walny;Rada Państwa;Senat Rzymski;Duma Bojarska
Historia;Rzeczpospolita Szlachecka;Jakie nieszczęsne prawo pozwalało pojedynczemu posłowi zerwać obrady sejmu?;łatwe;Liberum veto;Prawo oporu;Artykuły henrykowskie;Pacta conventa
Historia;Rzeczpospolita Szlachecka;Który polski hetman wygrał bitwę pod Kłuszynem w 1610 roku?;łatwe;Stanisław Żółkiewski;Jan Karol Chodkiewicz;Stefan Czarniecki;Jerzy Sebastian Lubomirski
Historia;Rzeczpospolita Szlachecka;Z jakim agresywnym sąsiadem Rzeczpospolita toczyła tzw. Potop (1655-1660)?;łatwe;Ze Szwecją;Z Rosją;Z Imperium Osmańskim;Z Tatarami
Historia;Rzeczpospolita Szlachecka;Jak potocznie nazywano biedną, nieposiadającą ziemi szlachtę?;łatwe;Gołota;Magnateria;Ziemiaństwo;Patrycjat
Historia;Chrzest Polski i Piastowie;Jaka rzeka jest historycznie uznawana za najbardziej prawdopodobne miejsce chrztu Mieszka I?;łatwe;Warta;Wisła;Odra;Bug
Historia;Chrzest Polski i Piastowie;Z jakiego kraju pochodziła księżniczka Dobrawa, żona Mieszka I?;łatwe;Z Czech;Z Rusi Kijowskiej;Z Węgier;Ze Świętego Cesarstwa
Historia;Chrzest Polski i Piastowie;Który polski książę podjął brzemienną w skutkach decyzję o sprowadzeniu Krzyżaków?;łatwe;Konrad Mazowiecki;Bolesław Krzywousty;Władysław Łokietek;Mieszko Stary
Historia;Chrzest Polski i Piastowie;Gdzie znajdowała się pierwsza, historyczna stolica państwa Polan?;łatwe;W Gnieźnie;W Krakowie;W Poznaniu;W Warszawie
Historia;Chrzest Polski i Piastowie;Z jakiego zachodniosłowiańskiego plemienia wywodziła się dynastia Piastów?;łatwe;Z Polan;Z Wiślan;Z Mazowszan;Ze Ślężan
Historia;Historia USA;Kto został wybrany na pierwszego w historii prezydenta Stanów Zjednoczonych?;łatwe;George Washington;Abraham Lincoln;Thomas Jefferson;John Adams
Historia;Historia USA;Kiedy Ojcowie Założyciele uchwalili słynną Deklarację Niepodległości USA?;łatwe;4 lipca 1776 r.;14 lipca 1789 r.;11 listopada 1918 r.;3 maja 1791 r.
Historia;Historia USA;Jak nazywała się krwawa wojna domowa toczona w USA w latach 1861-1865?;łatwe;Wojna secesyjna;Wojna o niepodległość;Wojna brytyjsko-amerykańska;Wojna meksykańska
Historia;Historia USA;Który amerykański prezydent podpisał proklamację znoszącą niewolnictwo?;łatwe;Abraham Lincoln;George Washington;Franklin D. Roosevelt;John F. Kennedy
Historia;Historia USA;Ile pięcioramiennych gwiazdek znajduje się na obecnej fladze USA?;łatwe;50;13;51;48
Historia;Rewolucja Francuska;Zdobycie jakiej paryskiej twierdzy i więzienia rozpoczęło Rewolucję Francuską?;łatwe;Bastylii;Wersalu;Luwru;Pałacu Inwalidów
Historia;Rewolucja Francuska;Który król Francji z dynastii Burbonów został zgilotynowany przez rewolucjonistów?;łatwe;Ludwik XVI;Ludwik XIV;Ludwik XV;Karol X
Historia;Rewolucja Francuska;Jak nazywało się radykalne stronnictwo polityczne pod wodzą Robespierre'a?;łatwe;Jakobini;Żyrondyści;Kordelierzy;Sankiuloci
Historia;Rewolucja Francuska;Jaki autorytarny system rządów został obalony we Francji w 1789 roku?;łatwe;Monarchia absolutna;Republika;Cesarstwo;Dyrektoriat
Historia;Rewolucja Francuska;Jakie makabryczne urządzenie stało się symbolem rewolucyjnego terroru?;łatwe;Gilotyna;Szubienica;Krzesło elektryczne;Topór katowski
Historia;Zamki i Twierdze;Który potężny zamek w Polsce był siedzibą Wielkich Mistrzów Zakonu Krzyżackiego?;łatwe;Zamek w Malborku;Zamek Wawelski;Zamek Książ;Zamek w Niedzicy
Historia;Zamki i Twierdze;W jakim historycznym miejscu w Krakowie rezydowali przez wieki polscy królowie?;łatwe;Na Wawelu;W Zamku Królewskim;W Pałacu w Łazienkach;W Pałacu w Wilanowie
Historia;Zamki i Twierdze;Jak nazywa się malowniczy zamek z maczugą Herkulesa na Szlaku Orlich Gniazd?;łatwe;Pieskowa Skała;Zamek Czocha;Zamek w Kórniku;Zamek w Gołuchowie
Historia;Zamki i Twierdze;Który władca przeniósł dwór i nakazał rozbudowę Zamku Królewskiego w Warszawie?;łatwe;Zygmunt III Waza;Kazimierz Wielki;Jan III Sobieski;Bolesław Chrobry
Historia;Zamki i Twierdze;Jak nazywają się imponujące ruiny ogromnego zamku w województwie świętokrzyskim?;łatwe;Krzyżtopór;Zamek w Chęcinach;Ogrodzieniec;Zamek w Bobolicach
Historia;Historia Sportu;W jakim mieście odbyły się pierwsze nowożytne Igrzyska Olimpijskie w 1896 r.?;łatwe;W Atenach;W Paryżu;W Londynie;W Rzymie
Historia;Historia Sportu;Kto zdobył pierwszy w historii złoty medal olimpijski dla reprezentacji Polski?;łatwe;Halina Konopacka;Janusz Kusociński;Stanisława Walasiewicz;Irena Szewińska
Historia;Historia Sportu;W którym roku odbyły się letnie Igrzyska w Monachium, podczas których doszło do zamachu?;łatwe;1972 r.;1968 r.;1976 r.;1980 r.
Historia;Historia Sportu;Jaka wszechstronna dyscyplina sportowa była punktem kulminacyjnym antycznych igrzysk?;łatwe;Pięciobój;Piłka nożna;Szermierka;Podnoszenie ciężarów
Historia;Historia Sportu;Który polski zawodnik został królem strzelców na Mistrzostwach Świata w 1974 roku?;łatwe;Grzegorz Lato;Zbigniew Boniek;Robert Lewandowski;Włodzimierz Lubański
Historia;Współczesna Polska (po 1989);Kto był pierwszym, historycznym niekomunistycznym premierem RP po 1989 roku?;łatwe;Tadeusz Mazowiecki;Leszek Balcerowicz;Jan Krzysztof Bielecki;Jan Olszewski
Historia;Współczesna Polska (po 1989);W którym roku Rzeczpospolita Polska oficjalnie wstąpiła do Unii Europejskiej?;łatwe;2004 r.;1999 r.;2007 r.;2001 r.
Historia;Współczesna Polska (po 1989);W którym roku Polska dołączyła do Paktu Północnoatlantyckiego (NATO)?;łatwe;1999 r.;1997 r.;2004 r.;2001 r.
Historia;Współczesna Polska (po 1989);Jaki nadrzędny dokument prawny, uchwalony w 1997 roku, obowiązuje w Polsce?;łatwe;Konstytucja RP;Kodeks Karny;Karta Praw Podstawowych;Statut Państwowy
Historia;Współczesna Polska (po 1989);Kto wygrał pierwsze w pełni wolne i powszechne wybory prezydenckie w Polsce w 1990 r.?;łatwe;Lech Wałęsa;Aleksander Kwaśniewski;Tadeusz Mazowiecki;Lech Kaczyński
Historia;Chrzest Polski i Piastowie;W którym roku odbył się zjazd gnieźnieński, podczas którego cesarz Otton III spotkał się z Bolesławem Chrobrym?;trudne;1000 r.;966 r.;1025 r.;997 r.
Historia;Historia Sportu;Który zawodnik zdobył złoty medal w biegu na 100 metrów podczas Igrzysk Olimpijskich w Berlinie w 1936 roku?;trudne;Jesse Owens;Luz Long;Ralph Metcalfe;Mack Robinson
Historia;Historia USA;Który z prezydentów USA jako pierwszy zginął z ręki zamachowca, podczas przedstawienia w teatrze w 1865 roku?;trudne;Abraham Lincoln;James Garfield;William McKinley;John F. Kennedy
Historia;II Wojna Światowa;Jak nazywała się operacja lądowania aliantów w Normandii przeprowadzona 6 czerwca 1944 roku?;trudne;Operacja Overlord;Operacja Barbarossa;Operacja Market Garden;Operacja Torch
Historia;Królowie i Książęta Polski;Który król Polski zawarł w 1683 roku sojusz z cesarzem Leopoldem I i poprowadził odsiecz wiedeńską przeciw Turkom?;trudne;Jan III Sobieski;Władysław IV Waza;August II Mocny;Michał Korybut Wiśniowiecki
Historia;Polska w czasach PRL;Jak nazywało się porozumienie podpisane w sierpniu 1980 roku między Międzyzakładowym Komitetem Strajkowym a rządem PRL, które dało podstawy do rejestracji NSZZ Solidarność?;trudne;Porozumienia gdańskie;Porozumienia jastrzębskie;Porozumienia szczecińskie;Porozumienia radomskie
Historia;Powstania Narodowe;Kto był Naczelnikiem powstania kościuszkowskiego (1794) i dowódcą w bitwie pod Racławicami?;trudne;Tadeusz Kościuszko;Jan Henryk Dąbrowski;Józef Poniatowski;Józef Chłopicki
Historia;Rewolucja Francuska;Który dokument uchwalony przez Zgromadzenie Narodowe we Francji w sierpniu 1789 roku proklamował wolność, równość i prawo do oporu wobec ucisku?;trudne;Deklaracja Praw Człowieka i Obywatela;Konstytucja 3 maja;Wielka Karta Swobód;Deklaracja Niepodległości USA
Historia;Rzeczpospolita Szlachecka;Co oznaczała zasada liberum veto w Sejmie Rzeczypospolitej Szlacheckiej?;trudne;Jeden poseł mógł zerwać obrady i unieważnić wszystkie uchwały sejmu;Król miał prawo weta wobec każdej uchwały sejmowej;Senat mógł odrzucić uchwałę przyjętą przez izbę poselską;Szlachta mogła zbojkotować elekcję królewską
Historia;Starożytność i Egipt;Która bitwa z 480 roku p.n.e. jest znana z heroicznej obrony 300 Spartan pod wodzą Leonidasa przed wojskami perskimi?;trudne;Bitwa pod Termopilami;Bitwa pod Maratonem;Bitwa pod Salaminą;Bitwa pod Platejami
Historia;Słynni Dowódcy i Wodzowie;Pod jaką miejscowością Napoleon Bonaparte poniósł ostateczną klęskę w 1815 roku, co zakończyło epokę napoleońską?;trudne;Waterloo;Austerlitz;Lipsk;Borodino
Historia;Wielkie Odkrycia Geograficzne;Który żeglarz jako pierwszy przepłynął dookoła Ziemi (choć sam zginął w drodze), a jego wyprawa zakończyła się w 1522 roku?;trudne;Ferdynand Magellan;Vasco da Gama;Amerigo Vespucci;Bartolomeu Dias
Historia;Współczesna Polska (po 1989);W którym roku Polska wstąpiła do Sojuszu Północnoatlantyckiego (NATO)?;trudne;1999;1991;2004;1997
Historia;Zamki i Twierdze;Który zamek krzyżacki, zbudowany w XIV wieku nad Wisłą, jest uważany za jeden z największych gotyckich zamków na świecie?;trudne;Zamek w Malborku;Zamek na Wawelu;Zamek w Chęcinach;Zamek w Golubiu-Dobrzyniu
Historia;Zimna Wojna;Jak nazywał się plan pomocy gospodarczej USA dla krajów Europy Zachodniej ogłoszony w 1947 roku, który miał przeciwdziałać ekspansji komunizmu?;trudne;Plan Marshalla;Doktryna Trumana;Plan Schumana;Plan Dawesa
Historia;Średniowiecze Europy;W którym roku Wilhelm Zdobywca pokonał króla Harolda II w bitwie pod Hastings i podbił Anglię?;trudne;1066;1054;1095;1099
