category;subcategory;question;level;correct;wrong1;wrong2;wrong3
Wiedza Ogólna i Ciekawostki;Mity i Fakty;Czy według współczesnej psychologii nauki zbadanej po latach ewolucji prawdą powszechną uważa się, że zwykły i pracujący na pełnych obrotach człowiek rzekomo wykorzystuje zazwyczaj tylko słynne mityczne '10% swojego mózgu'?;łatwe;To wielki filmowy mit. Ludzie na co dzień wykorzystują 100% możliwości całego swojego mózgu;Tak to prawda badana przez lekarzy;Tak, tylko bardzo wybitni naukowcy i artyści przekraczają magiczną barierę 20%;To mit. Prawdziwą mityczną barierą na co dzień jest tylko i wyłącznie 15%
Wiedza Ogólna i Ciekawostki;Mity i Fakty;Czy faktem z bajek znanych powszechnie do stuleci jest, że dumnie wojujący morscy wikingowie, na swych podbojach do Anglii i łupieży powszechnie i stale, w bitwach nosili w rynsztunku słynne mosiężne i z twardymi zębami zwierząt rogate na hełmy?;łatwe;Absolutny Mit. Rogate wymyślone hełmy dodano im po wielu latach, głównie w wielkich po XIX-wiecznych operach i komiksach;Tak to absolutny udowodniony na badaniach fakt po stuleciach;Tak, miały one skutecznie podczas ataku z mroku przerażać brytyjskich, chrześcijańskich kapłanów i duchownych;Tak, każdy szanujący się po w wojnie wikiński król jarl, u samego dołu dostawał je z byka w urodziny by wejść do Walhalli
Wiedza Ogólna i Ciekawostki;Pierwiastki i Chemia;Czego absolutnie wspaniałym i doskonale na stulecia od lat znanym z lekcji skrótem, pełnym z życia we wzorach we wzorem z nauki chemicznym jest wielce proste i niezbędne do całego potężnego życia powszechnie słynne H2O?;łatwe;Czystej, życiodajnej po wyparciu wody;Przezroczystego, parującego wodoru;Gazowego w rurze nadtlenku w wodoru;Silnego, użerającego kwasu w solnego
Wiedza Ogólna i Ciekawostki;Pierwiastki i Chemia;Który metal jest jedynym, który pozostaje w stanie ciekłym w temperaturze pokojowej?;łatwe;Rtęć (Hg);Ołów (Pb);Złoto (Au);Cynk (Zn)
Wiedza Ogólna i Ciekawostki;Pierwiastki i Chemia;Który szlachetny gaz powoduje zabawne podniesienie barwy głosu po jego wdychaniu?;łatwe;Hel;Wodór;Neon;Azot
Wiedza Ogólna i Ciekawostki;Jednostki Miar i Wag;Jak nazywa się tradycyjna morska miara odległości stosowana w nawigacji morskiej i lotniczej?;łatwe;Mila morska;Węzeł;Kabel;Liga morska
Wiedza Ogólna i Ciekawostki;Jednostki Miar i Wag;Jaką jednostką mierzy się przekątną ekranów telewizorów i monitorów w systemie anglosaskim?;łatwe;Calami (np. 55 cali);Stopami (np. 55 stóp);Jardami (np. 55 jardów);Pikselami (np. 55 pikseli)
Wiedza Ogólna i Ciekawostki;Jednostki Miar i Wag;Do czego służy woltomierz stosowany powszechnie przy instalacjach elektrycznych?;łatwe;Służy do pomiaru napięcia elektrycznego (w woltach);Służy do pomiaru natężenia prądu elektrycznego (w amperach);Służy do pomiaru zużycia ciepłej wody domowej;Służy do pomiaru oporu i częstotliwości radia
Wiedza Ogólna i Ciekawostki;Słynne Cytaty;Z jakim starożytnym greckim filozofem nierozłącznie łączy się zdanie: 'Wiem, że nic nie wiem'?;łatwe;Z Sokratesem;Z Platonem;Z Arystotelesem;Z Pitagorasem
Wiedza Ogólna i Ciekawostki;Słynne Cytaty;Z jakim starożytnym rzymskim wodzem kojarzy się powszechnie słynne zdanie: 'Alea iacta est' (Kości zostały rzucone)?;łatwe;Z Juliuszem Cezarem;Ze Spartakusem;Z Aleksandrem Wielkim;Z Hannibalem
Wiedza Ogólna i Ciekawostki;Słynne Cytaty;Jakie słowa, według dramatu Szekspira, wypowiedział Juliusz Cezar po zdradzie bliskiej mu osoby?;łatwe;I ty, Brutusie, przeciwko mnie?;A więc wojna!;Zdrada to najgorszy grzech...;Wybaczam ci, przyjacielu.
Wiedza Ogólna i Ciekawostki;Tajemnice Świata;Jak nazywa się tajemniczy obszar na Oceanie Atlantyckim, w którym rzekomo bez śladu ginęły statki i samoloty?;łatwe;Trójkąt Bermudzki;Oko Sahary;Rów Mariański;Krąg Ognia
Wiedza Ogólna i Ciekawostki;Tajemnice Świata;W jakim szkockim jeziorze według lokalnych legend ukrywa się tajemnicze stworzenie zwane Nessie?;łatwe;W jeziorze Loch Ness;W jeziorze Wiktorii;W jeziorze Bajkał;W jeziorze Titicaca
Wiedza Ogólna i Ciekawostki;Tajemnice Świata;Jak nazywa się mityczny bogaty kontynent (lub wyspa), który według pism Platona miał zatonąć w oceanie?;łatwe;Atlantyda;Pangea;Gondwana;Lemuria
Wiedza Ogólna i Ciekawostki;Tajemnice Świata;W jakim pilnie strzeżonym wojskowym miejscu na pustyni w USA (Nevada) według teorii spiskowych ukrywa się rozbitą latający talerz?;łatwe;W Strefie 51 (Area 51);W Las Vegas;W Waszyngtonie;W Houston
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Który słynny amerykański wynalazca przeszedł do historii jako twórca praktycznej żarówki elektrycznej?;łatwe;Thomas Alva Edison;Nikola Tesla;Alexander Graham Bell;Guglielmo Marconi
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Kto oficjalnie został uznany za wynalazcę telefonu w roku 1876?;łatwe;Alexander Graham Bell;Thomas Edison;Samuel Morse;Benjamin Franklin
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Jakiego rewolucyjnego odkrycia dla medycyny dokonał Alexander Fleming w 1928 roku?;łatwe;Odkrył penicylinę (pierwszy antybiotyk);Odkrył szczepionkę na wściekliznę;Odkrył grupy krwi;Odkrył promienie X (RTG)
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Jaki wynalazca dynamitu jest jednocześnie fundatorem najsłynniejszej na świecie nagrody naukowej?;łatwe;Alfred Nobel;Albert Einstein;Ignacy Łukasiewicz;Robert Oppenheimer
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Jacy słynni bracia (Auguste i Louis) zapisali się na zawsze w historii jako pionierzy kina?;łatwe;Bracia Lumière;Bracia Wright;Bracia Warner;Bracia Grimm
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Jak nazywa się piękne, kolorowe zjawisko optyczne i meteorologiczne powstające gdy słońce świeci podczas deszczu?;łatwe;Tęcza;Zorza polarna;Halo;Fatamorgana
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Jak nazywa się niszczycielski huragan na terenach azjatyckich, szczególnie nad Pacyfikiem?;łatwe;Tajfun;Tornado;Monsun;Tsunami
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Z jakim spektakularnym świetlnym zjawiskiem na nocnym niebie, widocznym w okolicach biegunów, kojarzy się Skandynawia?;łatwe;Zorza polarna;Deszcz meteorów (spływ gwiazd);Zaćmienie słońca;Białe noce
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Jak nazywa się logarytmiczna skala używana przez sejsmologów do mierzenia siły trzęsień ziemi?;łatwe;Skala Richtera;Skala Fahrenheita;Skala Beauforta;Skala Kelvina
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Jak nazywa się opad atmosferyczny w postaci twardych bryłek lodu, często niszczący uprawy?;łatwe;Grad;Szron;Śnieg;Szadź
Wiedza Ogólna i Ciekawostki;Świat Finansów;Jaka waluta powszechnie obowiązuje w Japonii?;łatwe;Jen (JPY);Juan (RMB);Won (KRW);Dolar (USD)
Wiedza Ogólna i Ciekawostki;Świat Finansów;Jak na giełdzie i rynkach finansowych nazywa się długotrwały wzrost cen akcji?;łatwe;Hossa (Rynek Byka);Bessa (Rynek Niedźwiedzia);Recesja;Stagflacja
Wiedza Ogólna i Ciekawostki;Świat Finansów;Co oznacza skrót VAT doliczany do ceny niemal wszystkich towarów i usług?;łatwe;Podatek od towarów i usług;Podatek od dochodów osobistych;Podatek akcyzowy;Podatek od nieruchomości
Wiedza Ogólna i Ciekawostki;Świat Finansów;Jak nazywa się najsłynniejsza nowojorska ulica, tętniąca życiem finansowym i siedziba giełdy NYSE?;łatwe;Wall Street;Broadway;Fifth Avenue (Piąta Aleja);Times Square
Wiedza Ogólna i Ciekawostki;Świat Finansów;Co oznacza skrót PKB, określający wartość wszystkich dóbr i usług wytworzonych w kraju w ciągu roku?;łatwe;Produkt Krajowy Brutto;Przychód Komercyjny Banków;Państwowy Koszt Budżetowy;Podatek Krajowy Bezpośredni
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;W jakiej dziedzinie, obok fizyki, chemii, medycyny, literatury i pokoju, przyznawana jest nagroda (od 1968 roku) ku pamięci Alfreda Nobla?;łatwe;W dziedzinie ekonomii;W dziedzinie matematyki;W dziedzinie informatyki;W dziedzinie architektury
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;Jaka słynna uczona jako pierwsza kobieta w historii zdobyła Nagrodę Nobla, i to aż dwukrotnie (z fizyki i chemii)?;łatwe;Maria Skłodowska-Curie;Rosalind Franklin;Irena Joliot-Curie;Ada Lovelace
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;W jakim mieście tradycyjnie i uroczyście wręczana jest Pokojowa Nagroda Nobla, w odróżnieniu od pozostałych, wręczanych w Sztokholmie?;łatwe;W Oslo (Norwegia);W Kopenhadze (Dania);W Helsinkach (Finlandia);W Genewie (Szwajcaria)
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;Kto odebrał Literacką Nagrodę Nobla w 1905 roku za całokształt twórczości, stając się historycznie pierwszym laureatem z Polski?;łatwe;Henryk Sienkiewicz;Władysław Reymont;Czesław Miłosz;Wisława Szymborska
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;Który wybitny mąż stanu, były prezydent RPA walczący skutecznie z apartheidem, otrzymał Pokojową Nagrodę Nobla w 1993 roku?;łatwe;Nelson Mandela;Martin Luther King;Kofi Annan;Mahatma Gandhi
Wiedza Ogólna i Ciekawostki;Cuda Świata;Jaki jedyny starożytny cud świata, znajdujący się w Gizie, przetrwał w niemal nienaruszonym stanie do naszych czasów?;łatwe;Piramida Cheopsa;Wiszące ogrody Semiramidy;Latarnia morska w Faros;Posąg Zeusa w Olimpii
Wiedza Ogólna i Ciekawostki;Cuda Świata;W jakim współczesnym kraju leży zachowane wczesnoinkaskie miasto Machu Picchu, wpisane na listę siedmiu nowych cudów świata?;łatwe;W Peru;W Meksyku;W Brazylii;W Kolumbii
Wiedza Ogólna i Ciekawostki;Cuda Świata;Jak nazywa się wielki, starożytny amfiteatr zlokalizowany w centrum Rzymu, będący jednym z nowych cudów świata?;łatwe;Koloseum;Panteon;Forum Romanum;Akropol
Wiedza Ogólna i Ciekawostki;Cuda Świata;Jaki wspaniały, majestatyczny marmurowy grobowiec w Indiach zbudował cesarz Szahdżahan dla swojej ukochanej, zmarłej żony?;łatwe;Tadź Mahal;Świątynia Angkor Wat;Złota Świątynia;Wielki Mur Chiński
Wiedza Ogólna i Ciekawostki;Cuda Świata;Który cud świata starożytnego, będący gigantycznym posągiem z brązu, stał dawniej dumnie u wejścia do greckiego portu?;łatwe;Kolos Rodyjski;Świątynia Artemidy;Mauzoleum w Halikarnasie;Partenon
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Jak brzmi prawidłowe dokończenie polskiego przysłowia: 'Gdzie kucharek sześć...'?;łatwe;...tam nie ma co jeść.;...tam obiad w pięć minut.;...tam zawsze stół pełny.;...tam głośno i wesoło.
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Co według powszechnie znanego, leśnego powiedzenia 'ciągnie wilka', gdy ma się na myśli jego naturalne instynkty i nawyki?;łatwe;Ciągnie go do lasu;Ciągnie go do mięsa;Ciągnie go do sfory;Ciągnie go do księżyca
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Jak dokończysz staropolskie przysłowie przestrzegające przed krytykowaniem wartości i wad otrzymanego podarunku: 'Darowanemu koniowi...'?;łatwe;...w zęby się nie zagląda.;...w oczy się nie patrzy.;...podkowy się nie sprawdza.;...na grzbiet się nie skacze.
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Kiedy według znanego rzemieślniczego przysłowia z morałem, należy kategorycznie 'kuć żelazo' by odnieść życiowy sukces?;łatwe;Póki gorące;Póki twarde i ostre;Póki nikt nie patrzy;Z samego rana
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Jakie przysłowie stanowczo ostrzega przed przedwczesnym i optymistycznym cieszeniem się z sukcesu, zanim wszystko się nie skończy?;łatwe;Nie chwal dnia przed zachodem słońca;Lepszy rydz niż nic;Niedzielna praca w gówno się obraca;Kto rano wstaje, temu Pan Bóg daje
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Kto w 1492 roku, naiwnie poszukując nowej i szybszej drogi do Indii, dotarł swoimi statkami do wybrzeży nieznanej wcześniej Ameryki?;łatwe;Krzysztof Kolumb;Vasco da Gama;Marco Polo;Amerigo Vespucci
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Jaki wielki portugalski podróżnik i odkrywca jako absolutnie pierwszy dotarł drogą morską do upragnionych Indii, opływając Afrykę w 1498 roku?;łatwe;Vasco da Gama;Ferdynand Magellan;Bartolomeu Dias;James Cook
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Czyja hiszpańska wyprawa (choć głównodowodzący zginął tragicznie w trakcie na Filipinach) jako pierwsza na świecie całkowicie opłynęła kulę ziemską?;łatwe;Wyprawa Ferdynanda Magellana;Wyprawa Francisa Drake'a;Wyprawa Hernána Cortésa;Wyprawa wikinga Leifa Erikssona
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Jaki bardzo słynny wenecki kupiec i podróżnik udał się w XIII wieku lądowym Jedwabnym Szlakiem daleko do Chin na dwór Kubilaj-chana?;łatwe;Marco Polo;Ibn Battuta;Roald Amundsen;David Livingstone
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Który słynny i bardzo zdeterminowany Norweg został oficjalnie pierwszym zdobywcą mroźnego bieguna południowego, wygrywając o włos wyścig ze Scottem w 1911 roku?;łatwe;Roald Amundsen;Edmund Hillary;Robert Peary;Ernest Shackleton
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Jaki potężny, wewnętrzny i niezwykle ważny organ ludzkiego ciała w głównej mierze odpowiada za magazynowanie energii, produkcję żółci oraz detoksykację z alkoholu i trucizn?;łatwe;Wątroba;Trzustka;Serce;Nerki
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Jaka kostna struktura jest oficjalnie największą, a zarazem najcięższą i najsilniejszą kością w całym układzie szkieletowym dorosłego człowieka?;łatwe;Kość udowa;Miednica;Kość piszczelowa;Łopatka
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Jak fachowo nazywa się czerwony barwnik ukryty we krwi, który jest bezpośrednio i fizycznie odpowiedzialny za niezbędne transportowanie tlenu z naszych płuc do wszystkich komórek?;łatwe;Hemoglobina;Melanina;Insulina;Adrenalina
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Jaka mocna, wypukła i twarda kostna struktura ochronna bezpośrednio zabezpiecza nasz bardzo miękki i delikatny mózg przed wszelkimi uderzeniami i wstrząsami z otoczenia?;łatwe;Czaszka;Mostek;Miednica;Kręgosłup szyjny
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Co paradoksalnie według twardej medycyny stanowi absolutnie największy powierzchniowo organ całego naszego ludzkiego organizmu, pełniący kluczowe funkcje obronne i chłodzące ciało?;łatwe;Skóra;Jelito cienkie;Wątroba;Płuca
Wiedza Ogólna i Ciekawostki;Stolice Świata;W jakiej niezwykle popularnej, zatłoczonej latem stolicy na zachodzie Europy, przez sam środek historycznej i miejskiej zabudowy przepływa zjawiskowa i majestatyczna rzeka Sekwana?;łatwe;W Paryżu;W Rzymie;W Londynie;W Madrycie
Wiedza Ogólna i Ciekawostki;Stolice Świata;Które bardzo turystyczne miasto z ogromną antyczną przeszłością, zlokalizowane pośrodku Półwyspu Apenińskiego, potocznie i pieszczotliwie nazywa się 'Wiecznym Miastem'?;łatwe;Rzym;Ateny;Stambuł;Neapol
Wiedza Ogólna i Ciekawostki;Stolice Świata;Do jakiej deszczowej, brytyjskiej stolicy powinieneś się bezwzględnie udać, aby móc zobaczyć pałac królewski Buckingham i pospacerować brzegiem rzeki Tamizy?;łatwe;Do Londynu;Do Edynburga;Do Dublina;Do Cardiff
Wiedza Ogólna i Ciekawostki;Stolice Świata;Jakie znane europejskie i olbrzymie historycznie miasto, po wielu ciężkich latach podzielenia betonowym murem, ponownie zostało ustanowione oficjalną stolicą zjednoczonych Niemiec?;łatwe;Berlin;Monachium;Bonn;Frankfurt
Wiedza Ogólna i Ciekawostki;Stolice Świata;W jakim potężnym i niesamowicie neonowym mieście, będącym dumną, dalekowschodnią stolicą Japonii odnajdziesz m.in. zjawiskowe świątynie sąsiadujące bezpośrednio ze szklanymi wieżowcami?;łatwe;W Tokio;W Kioto;W Osace;W Seulu
Wiedza Ogólna i Ciekawostki;Ciało Człowieka;Który gruczoł dokrewny w ludzkim mózgu wydziela hormon melatoninę odpowiedzialny za regulację rytmu dobowego?;trudne;Szyszynka (epifiza);Przysadka mózgowa;Tarczyca;Nadnercza
Wiedza Ogólna i Ciekawostki;Cuda Świata;Który z Siedmiu Cudów Starożytnego Świata jako jedyny zachował się do naszych czasów?;trudne;Wielka Piramida w Gizie;Latarnia Morska na Faros;Kolos Rodyjski;Wiszące Ogrody Babilonu
Wiedza Ogólna i Ciekawostki;Jednostki Miar i Wag;Ile paskali wynosi standardowe ciśnienie atmosferyczne na poziomie morza (1 atm)?;trudne;101 325 Pa;100 000 Pa;103 250 Pa;98 765 Pa
Wiedza Ogólna i Ciekawostki;Kosmos i Eksploracja;Jak długo trwa jedna doba gwiazdowa, czyli jeden pełny obrót Ziemi względem odległych gwiazd?;trudne;Około 23 godziny i 56 minut;Dokładnie 24 godziny;24 godziny i 4 minuty;23 godziny i 48 minut
Wiedza Ogólna i Ciekawostki;Mity i Fakty;Czy prawdą jest, że człowiek używa zaledwie 10% możliwości swojego mózgu?;trudne;To mit – badania obrazowania mózgu pokazują, że w ciągu doby aktywna jest praktycznie cała kora mózgowa;To prawda – reszta mózgu służy wyłącznie automatycznym funkcjom życiowym;To prawda – tylko 10% neuronów jest zdolnych do uczenia się;To mit, ale faktycznie używamy maksymalnie 30% mózgu w ciągu życia
Wiedza Ogólna i Ciekawostki;Nagrody Nobla;W którym roku po raz pierwszy uroczyście przyznano Nagrody Nobla zgodnie z testamentem Alfreda Nobla?;trudne;1901;1895;1900;1905
Wiedza Ogólna i Ciekawostki;Pierwiastki i Chemia;Który pierwiastek chemiczny ma najwyższą temperaturę topnienia spośród wszystkich znanych pierwiastków układu okresowego?;trudne;Wolfram (W) – topi się w ok. 3422°C;Platyna (Pt) – topi się w ok. 1768°C;Ren (Re) – topi się w ok. 3186°C;Osm (Os) – topi się w ok. 3033°C
Wiedza Ogólna i Ciekawostki;Przysłowia i Powiedzenia;Z którego starożytnego dzieła literackiego pochodzi łacińska sentencja Carpe diem (chwytaj dzień)?;trudne;Z Ód Horacego (Quintus Horatius Flaccus, I w. p.n.e.);Z Eneidy Wergiliusza;Z pism Cycerona;Z Iliady Homera
Wiedza Ogólna i Ciekawostki;Rekordy Guinnessa;Ile łącznie trwał najdłuższy mecz tenisowy w historii Wimbledonu, rozegrany w 2010 roku między Johnem Isnerem a Nicolasem Mahut?;trudne;11 godzin i 5 minut;6 godzin i 33 minuty;8 godzin i 52 minuty;9 godzin i 17 minut
Wiedza Ogólna i Ciekawostki;Stolice Świata;Które miasto pełni funkcję stolicy administracyjnej (siedziby rządu) Republiki Południowej Afryki?;trudne;Pretoria;Kapsztad;Johannesburg;Durban
Wiedza Ogólna i Ciekawostki;Słynne Cytaty;W jakim kontekście Albert Einstein wypowiedział słynny cytat: Bóg nie gra w kości?;trudne;Wyrażając sprzeciw wobec probabilistycznej interpretacji mechaniki kwantowej;Komentując swoje odkrycia dotyczące struktury Wszechświata;Tłumacząc podstawy szczególnej teorii względności;Opisując swoje poglądy religijne na stworzenie świata
Wiedza Ogólna i Ciekawostki;Słynni Odkrywcy;Który polski alpinista jako drugi człowiek na świecie zdobył wszystkie 14 ośmiotysięczników (tzw. Koronę Himalajów), dokonując tego w 1987 roku?;trudne;Jerzy Kukuczka;Krzysztof Wielicki;Wanda Rutkiewicz;Leszek Cichy
Wiedza Ogólna i Ciekawostki;Tajemnice Świata;W którym roku odkryto słynne prehistoryczne malowidła naskalne w jaskini Lascaux w południowej Francji?;trudne;1940;1879;1920;1955
Wiedza Ogólna i Ciekawostki;Wynalazki Codziennego Użytku;Kto wynalazł i opatentował dynamit, rejestrując go w 1867 roku w Szwecji?;trudne;Alfred Nobel;Thomas Edison;Nikola Tesla;Hiram Maxim
Wiedza Ogólna i Ciekawostki;Zjawiska Pogodowe;Według jakiej skali mierzy się intensywność tornad w Stanach Zjednoczonych (od 2007 roku obowiązuje jej rozszerzona wersja)?;trudne;Skali Fujity (rozszerzona skala Fujity, EF0–EF5);Skali Beauforta;Skali Saffira-Simpsona;Skali Richtera
Wiedza Ogólna i Ciekawostki;Świat Finansów;Która instytucja Unii Europejskiej jest wyłącznie odpowiedzialna za emisję banknotów euro i nadzorowanie polityki pieniężnej strefy euro?;trudne;Europejski Bank Centralny (EBC);Europejski Bank Inwestycyjny (EBI);Europejski Mechanizm Stabilności (EMS);Komisja Europejska
